mapset,zipcode,Tn,Tx,U2,ea,Gc,G,K,Rnl,ETo
2024-09-16,92629,14.43,22.14,1.99,1.65,6266.71,5353.38,0.85,-4.55,3.12
2024-09-16,92630,13.71,22.15,2.14,1.59,6314.95,5159.18,0.82,-4.34,3.12
2024-09-16,92637,14.03,22.20,2.07,1.61,6263.11,5208.32,0.83,-4.43,3.11
2024-09-16,92646,14.80,22.53,1.87,1.65,6213.12,5407.14,0.87,-4.70,3.19
2024-09-16,92647,14.78,22.67,1.88,1.64,6207.48,5474.03,0.88,-4.81,3.25
2024-09-16,92648,14.80,22.50,1.84,1.64,6217.53,5340.43,0.86,-4.63,3.18
2024-09-16,92649,14.83,22.66,1.84,1.63,6210.25,5442.79,0.88,-4.78,3.24
2024-09-16,92651,14.04,21.86,1.98,1.61,6260.31,5517.34,0.88,-4.81,3.16
2024-09-16,92653,13.97,22.18,2.08,1.61,6252.55,5206.49,0.83,-4.44,3.10
2024-09-16,92655,14.71,22.76,1.93,1.64,6198.49,5436.05,0.88,-4.78,3.25
2024-09-16,92656,14.03,22.07,2.03,1.61,6244.42,5333.30,0.85,-4.60,3.12
2024-09-16,92657,14.01,21.80,1.95,1.59,6270.56,5597.13,0.89,-4.91,3.19
2024-09-16,92660,14.57,22.40,1.94,1.65,6245.82,5477.04,0.88,-4.75,3.21
2024-09-16,92661,14.78,22.44,1.90,1.66,6241.42,5427.31,0.87,-4.67,3.18
2024-09-16,92662,14.71,22.39,1.91,1.66,6244.36,5435.64,0.87,-4.69,3.18
2024-09-16,92663,14.69,22.34,1.88,1.64,6232.14,5409.93,0.87,-4.68,3.17
2024-09-16,92672,14.21,22.09,2.04,1.63,6282.78,4815.60,0.77,-3.90,2.94
2024-09-16,92673,14.00,22.03,2.06,1.61,6264.21,5155.68,0.82,-4.35,3.06
2024-09-16,92675,13.87,22.06,2.09,1.60,6252.11,4990.01,0.80,-4.17,3.02
2024-09-16,92676,11.29,20.18,2.27,1.36,6564.89,4329.86,0.66,-3.26,2.79
2024-09-16,92677,13.95,21.88,2.02,1.60,6242.61,5269.08,0.84,-4.52,3.07
2024-09-16,92678,10.22,19.26,2.25,1.27,6548.23,4895.50,0.75,-4.06,2.89
2024-09-16,92679,12.76,21.47,2.20,1.50,6364.28,4668.82,0.73,-3.76,2.93
2024-09-16,92683,14.71,22.77,1.93,1.64,6196.78,5405.21,0.87,-4.74,3.24
2024-09-16,92688,13.17,21.76,2.18,1.54,6331.76,5055.55,0.80,-4.24,3.06
2024-09-16,92691,13.69,22.07,2.12,1.58,6288.01,5362.23,0.85,-4.62,3.16
2024-09-16,92692,13.50,21.94,2.14,1.57,6302.65,5283.80,0.84,-4.52,3.13
2024-09-16,92694,13.83,22.13,2.11,1.60,6250.87,4964.27,0.79,-4.15,3.02
2024-09-16,92701,14.46,22.79,2.07,1.64,6233.92,5404.50,0.87,-4.69,3.25
2024-09-16,92703,14.57,22.80,2.02,1.64,6209.06,5397.89,0.87,-4.71,3.25
2024-09-16,92704,14.64,22.75,1.99,1.65,6210.05,5488.26,0.88,-4.81,3.26
2024-09-16,92705,14.24,22.69,2.13,1.62,6288.53,5162.12,0.82,-4.35,3.18
2024-09-16,92706,14.47,22.82,2.07,1.64,6219.07,5379.46,0.87,-4.68,3.25
2024-09-16,92707,14.60,22.77,2.02,1.65,6224.52,5503.18,0.88,-4.81,3.27
2024-09-16,92708,14.72,22.68,1.93,1.65,6204.46,5440.98,0.88,-4.76,3.23
2024-09-16,92780,14.46,22.84,2.10,1.65,6258.25,5306.34,0.85,-4.53,3.23
2024-09-16,92782,14.24,22.73,2.15,1.63,6304.79,5151.64,0.82,-4.31,3.18
2024-09-16,92801,14.47,22.97,2.08,1.62,6194.63,5209.40,0.84,-4.53,3.24
2024-09-16,92802,14.47,22.89,2.07,1.63,6200.64,5287.73,0.85,-4.60,3.24
2024-09-16,92804,14.56,22.93,2.02,1.62,6192.86,5243.69,0.85,-4.56,3.23
2024-09-16,92805,14.38,22.91,2.12,1.62,6201.33,5180.53,0.84,-4.48,3.22
2024-09-16,92806,14.31,22.92,2.17,1.62,6228.31,5143.04,0.83,-4.40,3.22
2024-09-16,92807,13.78,22.57,2.28,1.58,6383.95,4972.04,0.78,-4.07,3.18
2024-09-16,92808,13.41,22.31,2.34,1.54,6447.05,4570.18,0.71,-3.55,3.05
2024-09-16,92821,13.85,22.70,2.27,1.56,6233.36,5403.29,0.87,-4.79,3.33
2024-09-16,92823,13.08,22.04,2.37,1.50,6386.57,5655.16,0.89,-5.00,3.40
2024-09-16,92831,14.23,22.93,2.20,1.60,6204.79,5165.56,0.83,-4.48,3.24
2024-09-16,92832,14.36,22.99,2.14,1.61,6194.83,5283.89,0.85,-4.63,3.28
2024-09-16,92833,14.33,22.94,2.12,1.60,6195.59,5263.15,0.85,-4.62,3.27
2024-09-16,92835,14.12,22.86,2.20,1.59,6204.45,5241.36,0.84,-4.59,3.27
2024-09-16,92840,14.53,22.85,2.03,1.63,6201.78,5348.59,0.86,-4.67,3.25
2024-09-16,92841,14.63,22.85,1.98,1.63,6192.72,5374.78,0.87,-4.72,3.25
2024-09-16,92843,14.57,22.82,2.02,1.64,6202.31,5362.77,0.86,-4.68,3.24
2024-09-16,92844,14.64,22.81,1.97,1.63,6197.38,5387.66,0.87,-4.72,3.25
2024-09-16,92845,14.72,22.84,1.92,1.63,6183.82,5373.53,0.87,-4.73,3.25
2024-09-16,92860,13.24,22.62,2.64,1.53,6685.56,5897.00,0.88,-4.95,3.65
2024-09-16,92861,14.00,22.67,2.21,1.60,6341.93,4767.13,0.75,-3.84,3.09
2024-09-16,92865,14.24,22.86,2.18,1.62,6264.10,5010.12,0.80,-4.20,3.17
2024-09-16,92866,14.29,22.79,2.13,1.62,6264.08,5141.71,0.82,-4.35,3.19
2024-09-16,92867,14.01,22.64,2.20,1.60,6317.50,4932.56,0.78,-4.07,3.14
2024-09-16,92868,14.40,22.84,2.10,1.63,6224.13,5283.83,0.85,-4.57,3.23
2024-09-16,92869,13.81,22.46,2.21,1.58,6365.80,4833.66,0.76,-3.91,3.09
2024-09-16,92870,14.14,22.91,2.25,1.60,6259.36,5188.13,0.83,-4.45,3.26
2024-09-16,92879,13.23,22.59,2.59,1.53,6694.72,5723.48,0.85,-4.72,3.57
2024-09-16,92880,13.40,22.66,2.58,1.55,6647.01,6060.83,0.91,-5.16,3.68
2024-09-16,92881,12.09,21.41,2.49,1.43,6643.16,5901.46,0.89,-5.08,3.48
2024-09-16,92882,11.89,21.05,2.44,1.41,6688.01,5887.53,0.88,-5.02,3.44
2024-09-16,92883,11.46,20.79,2.42,1.37,6565.39,5727.28,0.87,-5.00,3.34
2024-09-16,92886,13.60,22.51,2.33,1.55,6385.16,5422.51,0.85,-4.65,3.35
2024-09-16,92887,13.50,22.49,2.39,1.55,6462.21,4980.51,0.77,-4.03,3.22
2024-09-16,93001,10.75,22.26,1.42,1.24,6388.32,6179.62,0.97,-6.09,3.50
2024-09-16,93003,11.22,23.43,1.50,1.28,6276.34,6004.38,0.96,-5.98,3.55
2024-09-16,93004,11.76,23.87,1.50,1.32,6270.23,6031.13,0.96,-5.99,3.61
2024-09-16,93010,12.23,23.84,1.51,1.34,6248.45,5975.62,0.96,-5.91,3.59
2024-09-16,93012,12.21,23.48,1.54,1.33,6279.76,5983.39,0.95,-5.89,3.58
2024-09-16,93013,8.24,21.58,1.59,1.10,6399.73,6205.36,0.97,-6.27,3.48
2024-09-16,93015,10.63,22.89,1.88,1.20,6296.22,5855.37,0.93,-5.87,3.65
2024-09-16,93021,11.42,23.10,1.75,1.26,6297.41,5964.81,0.95,-5.94,3.64
2024-09-16,93022,10.30,23.39,1.57,1.23,6315.34,5995.40,0.95,-5.99,3.58
2024-09-16,93023,6.13,19.68,1.89,0.93,6511.39,5592.22,0.86,-5.46,3.30
2024-09-16,93030,12.24,23.82,1.43,1.35,6252.87,6025.49,0.96,-5.95,3.56
2024-09-16,93033,12.53,23.63,1.41,1.36,6246.03,6042.16,0.97,-5.96,3.55
2024-09-16,93035,12.26,23.76,1.40,1.35,6247.09,6014.31,0.96,-5.94,3.54
2024-09-16,93036,12.07,23.88,1.45,1.34,6256.49,6025.57,0.96,-5.96,3.58
2024-09-16,93040,9.60,21.89,2.13,1.10,6494.68,5942.39,0.91,-5.86,3.75
2024-09-16,93041,12.64,23.61,1.38,1.37,6240.59,6041.77,0.97,-5.96,3.53
2024-09-16,93042,15.42,18.14,1.21,1.35,6703.97,6535.94,0.97,-5.94,3.47
2024-09-16,93043,12.37,23.71,1.39,1.36,6245.63,6018.88,0.96,-5.94,3.53
2024-09-16,93060,9.37,22.08,1.76,1.13,6329.86,5699.30,0.90,-5.65,3.48
2024-09-16,93063,10.87,22.05,1.97,1.20,6476.89,5060.16,0.78,-4.55,3.39
2024-09-16,93064,11.09,22.00,1.88,1.22,6412.25,5415.81,0.84,-5.07,3.44
2024-09-16,93065,11.44,22.61,1.81,1.25,6376.09,5466.75,0.86,-5.16,3.48
2024-09-16,93066,11.44,23.35,1.62,1.28,6276.23,5982.52,0.95,-5.97,3.60
2024-09-16,93067,10.39,23.62,1.44,1.28,6339.33,6191.80,0.98,-6.14,3.57
2024-09-16,93101,10.33,23.40,1.41,1.28,6331.44,6249.55,0.99,-6.20,3.54
2024-09-16,93103,9.71,22.93,1.45,1.23,6349.05,6229.38,0.98,-6.21,3.52
2024-09-16,93105,7.21,20.59,1.56,1.06,6418.18,6227.56,0.97,-6.27,3.34
2024-09-16,93108,9.08,22.40,1.50,1.18,6365.56,6211.58,0.98,-6.23,3.50
2024-09-16,93109,10.26,23.24,1.40,1.28,6330.76,6251.37,0.99,-6.20,3.52
2024-09-16,93110,9.68,22.81,1.43,1.24,6332.52,6179.08,0.98,-6.14,3.47
2024-09-16,93111,10.04,23.09,1.41,1.27,6319.35,6166.06,0.98,-6.10,3.47
2024-09-16,93117,8.85,21.19,1.42,1.21,6407.04,6200.23,0.97,-6.04,3.29
2024-09-16,93201,12.21,24.66,2.06,1.04,6182.88,5494.94,0.89,-5.95,4.15
2024-09-16,93202,11.74,24.36,1.98,1.05,6145.93,5140.46,0.84,-5.40,3.90
2024-09-16,93203,11.21,24.14,2.56,1.03,6641.34,5911.67,0.89,-5.93,4.54
2024-09-16,93204,10.46,23.02,2.07,1.02,6370.82,5246.00,0.82,-5.25,3.82
2024-09-16,93205,6.48,17.18,3.90,0.53,7045.25,6455.74,0.92,-6.84,4.78
2024-09-16,93206,11.00,24.47,1.98,1.07,6344.11,5760.59,0.91,-6.01,4.08
2024-09-16,93207,7.29,18.46,3.64,0.55,6930.92,5860.89,0.84,-6.13,4.74
2024-09-16,93208,5.79,17.14,3.85,0.48,7052.68,6497.77,0.92,-7.01,4.83
2024-09-16,93210,8.83,21.10,2.30,0.95,6472.46,5148.04,0.80,-5.00,3.65
2024-09-16,93212,12.30,24.64,2.05,1.04,6164.16,5422.05,0.88,-5.87,4.12
2024-09-16,93215,12.48,24.73,2.29,1.00,6212.79,5714.92,0.92,-6.35,4.44
2024-09-16,93218,12.81,24.70,2.49,0.96,6254.23,5518.44,0.88,-6.08,4.60
2024-09-16,93219,12.59,24.81,2.21,1.02,6173.42,5609.20,0.91,-6.21,4.35
2024-09-16,93220,10.78,22.85,2.92,0.87,6602.36,5969.72,0.90,-6.35,4.76
2024-09-16,93221,11.62,23.99,2.49,0.93,6157.92,4965.02,0.81,-5.33,4.29
2024-09-16,93222,1.23,15.47,2.49,0.62,7300.99,6966.32,0.95,-6.66,3.69
2024-09-16,93223,12.36,24.79,2.20,1.02,6095.62,5526.16,0.91,-6.17,4.27
2024-09-16,93224,8.55,22.63,1.94,1.00,6938.13,5961.75,0.86,-5.54,3.95
2024-09-16,93225,3.07,16.80,2.53,0.69,7043.95,6124.76,0.87,-5.82,3.59
2024-09-16,93226,9.26,20.65,3.27,0.68,6712.79,5433.68,0.81,-5.64,4.68
2024-09-16,93230,11.87,24.44,1.99,1.05,6145.88,5421.69,0.88,-5.84,4.01
